
EJERCICIO 2, APARTADO 3

CÁLCULO DE MÁXIMOS Y MÍNIMOS

DATOS CALCULADOS; VALOR; LUGAR
Máximo de adjudicaciones totales:;1252;PUENTE DE VALLECAS, VALLECAS VILLA
Mínimo de adjudicaciones totales: ;2;SALAMANCA

Máximo de adjudicaciones del programa: ;1140;PUENTE DE VALLECAS
Mínimo de adjudicaciones del programa: ;2;CHAMBERI, SALAMANCA

Máximo de adjudicaciones del resto: ;289;VILLAVERDE
Mínimo de adjudicaciones del resto: ;0;CHAMARTIN, SALAMANCA


DISTRITOS EN LOS QUE NO SE HA HECHO NINGUNA ADJUDICACION DEPENDIENDO DEL PROGRAMA

Resto de programas que no tienen adjudicaciones son:;CHAMARTIN, SALAMANCA
