Comunidad autonoma;Grupo;Anyo;Mes;IPC
Comunitat Valenciana;Sanidad;2020;Enero;102,54
Catalunya;Restaurantes y hoteles;2020;Enero;105,83
Catalunya;Ensenyanza;2020;Enero;103,62
Catalunya;Ocio y cultura;2020;Enero;99,66
Catalunya;Comunicaciones;2020;Enero;103,63
Catalunya;Transporte;2020;Enero;110,78
Catalunya;Sanidad;2020;Enero;102,83
Catalunya;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Enero;101,87
Catalunya;Vivienda, agua, electricidad, gas y otros combustibles;2020;Enero;103,67
Catalunya;Vestido y calzado;2020;Enero;95,82
Catalunya;Bebidas alcoholicas y tabaco;2020;Enero;104,61
Catalunya;Alimentos y bebidas no alcoholicas;2020;Enero;106,74
Castilla - La Mancha;Otros bienes y servicios ;2020;Enero;103,63
Castilla - La Mancha;Restaurantes y hoteles;2020;Enero;105,64
Castilla - La Mancha;Ensenyanza;2020;Enero;103,95
Castilla - La Mancha;Ocio y cultura;2020;Enero;97,92
Castilla - La Mancha;Comunicaciones;2020;Enero;104,72
Castilla - La Mancha;Transporte;2020;Enero;110,28
Castilla - La Mancha;Sanidad;2020;Enero;101,58
Castilla - La Mancha;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Enero;99,48
Catalunya;Otros bienes y servicios ;2020;Enero;105,44
Comunitat Valenciana;Alimentos y bebidas no alcoholicas;2020;Enero;105,01
Comunitat Valenciana;Bebidas alcoholicas y tabaco;2020;Enero;103,69
Comunitat Valenciana;Vestido y calzado;2020;Enero;94,96
Extremadura;Otros bienes y servicios ;2020;Enero;103,21
Extremadura;Restaurantes y hoteles;2020;Enero;105,64
Extremadura;Ensenyanza;2020;Enero;105,05
Extremadura;Ocio y cultura;2020;Enero;98,87
Extremadura;Comunicaciones;2020;Enero;103,26
Extremadura;Transporte;2020;Enero;110,65
Extremadura;Sanidad;2020;Enero;100,75
Extremadura;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Enero;99,51
Extremadura;Vivienda, agua, electricidad, gas y otros combustibles;2020;Enero;102,58
Castilla - La Mancha;Vivienda, agua, electricidad, gas y otros combustibles;2020;Enero;106,02
Extremadura;Vestido y calzado;2020;Enero;93,34
Extremadura;Alimentos y bebidas no alcoholicas;2020;Enero;104,16
Comunitat Valenciana;Otros bienes y servicios ;2020;Enero;103,51
Comunitat Valenciana;Restaurantes y hoteles;2020;Enero;106,11
Comunitat Valenciana;Ensenyanza;2020;Enero;102,44
Comunitat Valenciana;Ocio y cultura;2020;Enero;99,96
Comunitat Valenciana;Comunicaciones;2020;Enero;102,75
Comunitat Valenciana;Transporte;2020;Enero;109,93
Comunitat Valenciana;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Enero;99,83
Comunitat Valenciana;Vivienda, agua, electricidad, gas y otros combustibles;2020;Enero;102,80
Extremadura;Bebidas alcoholicas y tabaco;2020;Enero;103,97
Castilla - La Mancha;Vestido y calzado;2020;Enero;94,87
Castilla - La Mancha;Bebidas alcoholicas y tabaco;2020;Enero;104,28
Castilla - La Mancha;Alimentos y bebidas no alcoholicas;2020;Enero;105,94
Canarias;Otros bienes y servicios ;2020;Enero;102,67
Canarias;Restaurantes y hoteles;2020;Enero;106,76
Canarias;Ensenyanza;2020;Enero;101,02
Canarias;Ocio y cultura;2020;Enero;97,89
Canarias;Comunicaciones;2020;Enero;103,90
Canarias;Transporte;2020;Enero;109,81
Canarias;Sanidad;2020;Enero;100,29
Canarias;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Enero;97,91
Canarias;Vivienda, agua, electricidad, gas y otros combustibles;2020;Enero;102,67
Cantabria;Alimentos y bebidas no alcoholicas;2020;Enero;104,22
Canarias;Vestido y calzado;2020;Enero;93,23
Canarias;Alimentos y bebidas no alcoholicas;2020;Enero;105,39
Illes Balears;Otros bienes y servicios ;2020;Enero;104,53
Illes Balears;Restaurantes y hoteles;2020;Enero;106,64
Illes Balears;Ensenyanza;2020;Enero;105,12
Illes Balears;Ocio y cultura;2020;Enero;99,44
Illes Balears;Comunicaciones;2020;Enero;105,01
Illes Balears;Transporte;2020;Enero;107,38
Illes Balears;Sanidad;2020;Enero;100,26
Illes Balears;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Enero;100,21
Canarias;Bebidas alcoholicas y tabaco;2020;Enero;116,19
Galicia;Alimentos y bebidas no alcoholicas;2020;Enero;104,83
Cantabria;Bebidas alcoholicas y tabaco;2020;Enero;103,74
