Comunidad autonoma;Grupo;Anyo;Mes;IPC
Andalucia;Alimentos y bebidas no alcoholicas;2020;Mayo;107.26
Andalucia;Alimentos y bebidas no alcoholicas;2020;Abril;107.332
Andalucia;Alimentos y bebidas no alcoholicas;2020;Marzo;105.611
Andalucia;Alimentos y bebidas no alcoholicas;2020;Febrero;105.435
Andalucia;Alimentos y bebidas no alcoholicas;2020;Enero;105.058
Andalucia;Bebidas alcoholicas y tabaco;2020;Mayo;104.339
Andalucia;Bebidas alcoholicas y tabaco;2020;Abril;104.174
Andalucia;Bebidas alcoholicas y tabaco;2020;Marzo;103.796
Andalucia;Bebidas alcoholicas y tabaco;2020;Febrero;103.636
Andalucia;Bebidas alcoholicas y tabaco;2020;Enero;103.436
Andalucia;Vestido y calzado;2020;Mayo;110.538
Andalucia;Vestido y calzado;2020;Abril;108.01
Andalucia;Vestido y calzado;2020;Marzo;97.741
Andalucia;Vestido y calzado;2020;Febrero;92.678
Andalucia;Vestido y calzado;2020;Enero;93.68
Andalucia;Vivienda, agua, electricidad, gas y otros combustibles;2020;Mayo;98.383
Andalucia;Vivienda, agua, electricidad, gas y otros combustibles;2020;Abril;98.125
Andalucia;Vivienda, agua, electricidad, gas y otros combustibles;2020;Marzo;99.978
Andalucia;Vivienda, agua, electricidad, gas y otros combustibles;2020;Febrero;101.957
Andalucia;Vivienda, agua, electricidad, gas y otros combustibles;2020;Enero;103.149
Andalucia;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Mayo;99.962
Andalucia;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Abril;99.662
Andalucia;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Marzo;99.318
Andalucia;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Febrero;99.146
Andalucia;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Enero;99.063
Andalucia;Sanidad;2020;Mayo;102.148
Andalucia;Sanidad;2020;Abril;101.949
Andalucia;Sanidad;2020;Marzo;101.902
Andalucia;Sanidad;2020;Febrero;101.752
Andalucia;Sanidad;2020;Enero;101.814
Andalucia;Transporte;2020;Mayo;101.291
Andalucia;Transporte;2020;Abril;102.164
Andalucia;Transporte;2020;Marzo;105.747
Andalucia;Transporte;2020;Febrero;109.02
Andalucia;Transporte;2020;Enero;109.68
Andalucia;Comunicaciones;2020;Mayo;105.074
Andalucia;Comunicaciones;2020;Abril;105.191
Andalucia;Comunicaciones;2020;Marzo;105.362
Andalucia;Comunicaciones;2020;Febrero;104.078
Andalucia;Comunicaciones;2020;Enero;104.085
Andalucia;Ocio y cultura;2020;Mayo;98.653
Andalucia;Ocio y cultura;2020;Abril;99.854
Andalucia;Ocio y cultura;2020;Marzo;99.187
Andalucia;Ocio y cultura;2020;Febrero;99.457
Andalucia;Ocio y cultura;2020;Enero;98.591
Andalucia;Ensenyanza;2020;Mayo;104.79
Andalucia;Ensenyanza;2020;Abril;104.849
Andalucia;Ensenyanza;2020;Marzo;104.836
Andalucia;Ensenyanza;2020;Febrero;104.836
Andalucia;Ensenyanza;2020;Enero;104.836
Andalucia;Restaurantes y hoteles;2020;Mayo;107.553
Andalucia;Restaurantes y hoteles;2020;Abril;107.119
Andalucia;Restaurantes y hoteles;2020;Marzo;106.458
Andalucia;Restaurantes y hoteles;2020;Febrero;106.251
Andalucia;Restaurantes y hoteles;2020;Enero;105.319
Andalucia;Otros bienes y servicios ;2020;Mayo;103.877
Andalucia;Otros bienes y servicios ;2020;Abril;103.776
Andalucia;Otros bienes y servicios ;2020;Marzo;103.501
Andalucia;Otros bienes y servicios ;2020;Febrero;103.304
Andalucia;Otros bienes y servicios ;2020;Enero;103.153
Aragon;Alimentos y bebidas no alcoholicas;2020;Mayo;106.041
Aragon;Alimentos y bebidas no alcoholicas;2020;Abril;105.694
Aragon;Alimentos y bebidas no alcoholicas;2020;Marzo;105.335
Aragon;Alimentos y bebidas no alcoholicas;2020;Febrero;105.065
Aragon;Alimentos y bebidas no alcoholicas;2020;Enero;104.443
Aragon;Bebidas alcoholicas y tabaco;2020;Mayo;104.306
Aragon;Bebidas alcoholicas y tabaco;2020;Abril;104.224
Aragon;Bebidas alcoholicas y tabaco;2020;Marzo;104.385
Aragon;Bebidas alcoholicas y tabaco;2020;Febrero;104.352
Aragon;Bebidas alcoholicas y tabaco;2020;Enero;103.566
Aragon;Vestido y calzado;2020;Mayo;110.459
Aragon;Vestido y calzado;2020;Abril;107.142
Aragon;Vestido y calzado;2020;Marzo;96.963
Aragon;Vestido y calzado;2020;Febrero;93.753
Aragon;Vestido y calzado;2020;Enero;94.637
Aragon;Vivienda, agua, electricidad, gas y otros combustibles;2020;Mayo;97.694
Aragon;Vivienda, agua, electricidad, gas y otros combustibles;2020;Abril;97.776
Aragon;Vivienda, agua, electricidad, gas y otros combustibles;2020;Marzo;100.427
Aragon;Vivienda, agua, electricidad, gas y otros combustibles;2020;Febrero;103.074
Aragon;Vivienda, agua, electricidad, gas y otros combustibles;2020;Enero;104.712
Aragon;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Mayo;99.107
Aragon;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Abril;99.065
Aragon;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Marzo;98.634
Aragon;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Febrero;98.146
Aragon;Muebles, articulos del hogar y articulos para el mantenimiento corriente del hogar;2020;Enero;98.362
Aragon;Sanidad;2020;Mayo;102.918
Aragon;Sanidad;2020;Abril;102.2
Aragon;Sanidad;2020;Marzo;101.987
Aragon;Sanidad;2020;Febrero;101.866
Aragon;Sanidad;2020;Enero;101.887
Aragon;Transporte;2020;Mayo;101.013
Aragon;Transporte;2020;Abril;101.984
Aragon;Transporte;2020;Marzo;105.605
Aragon;Transporte;2020;Febrero;109.204
Aragon;Transporte;2020;Enero;110.181
Aragon;Comunicaciones;2020;Mayo;105.162
Aragon;Comunicaciones;2020;Abril;105.277
Aragon;Comunicaciones;2020;Marzo;105.448
Aragon;Comunicaciones;2020;Febrero;104.163
Aragon;Comunicaciones;2020;Enero;104.167
Aragon;Ocio y cultura;2020;Mayo;97.619
Aragon;Ocio y cultura;2020;Abril;99.294
Aragon;Ocio y cultura;2020;Marzo;98.676
Aragon;Ocio y cultura;2020;Febrero;98.772
Aragon;Ocio y cultura;2020;Enero;98.214
Aragon;Ensenyanza;2020;Mayo;103.877
Aragon;Ensenyanza;2020;Abril;103.877
Aragon;Ensenyanza;2020;Marzo;103.868
Aragon;Ensenyanza;2020;Febrero;103.868
Aragon;Ensenyanza;2020;Enero;103.868
Aragon;Restaurantes y hoteles;2020;Mayo;109.468
Aragon;Restaurantes y hoteles;2020;Abril;108.978
Aragon;Restaurantes y hoteles;2020;Marzo;107.91
Aragon;Restaurantes y hoteles;2020;Febrero;108.262
Aragon;Restaurantes y hoteles;2020;Enero;107.34
Aragon;Otros bienes y servicios ;2020;Mayo;104.294
Aragon;Otros bienes y servicios ;2020;Abril;104.389
Aragon;Otros bienes y servicios ;2020;Marzo;103.935
Aragon;Otros bienes y servicios ;2020;Febrero;103.706
Aragon;Otros bienes y servicios ;2020;Enero;103.577
Asturias, Principado de;Alimentos y bebidas no alcoholicas;2020;Mayo;105.825
Asturias, Principado de;Alimentos y bebidas no alcoholicas;2020;Abril;106.134
Asturias, Principado de;Alimentos y bebidas no alcoholicas;2020;Marzo;104.46
Asturias, Principado de;Alimentos y bebidas no alcoholicas;2020;Febrero;104.033
