anfitrion,numero_alojamientos_por_anfitrion
13660,1
75944,1
82175,1
83531,2
101471,1
101653,1
114340,1
124972,2
130907,3
132883,1
142989,1
153391,6
216570,1
259229,1
266650,1
288380,1
303845,1
353616,1
353738,5
361930,2
364585,2
368907,2
378073,5
391014,1
401552,1
427419,1
447969,1
448981,1
487095,1
495849,1
498646,2
499977,2
510570,1
527760,1
533936,1
534128,12
534515,1
547389,1
557423,1
564773,1
571765,1
574498,1
584351,1
596469,8
605612,3
606925,2
617086,1
630482,2
632589,1
641820,1
650803,1
655088,2
666482,1
669927,1
690223,1
723539,1
739627,1
740087,5
749212,1
757672,1
762655,2
780107,1
796746,1
805726,4
814490,3
816497,1
845399,4
845407,2
850654,2
852616,2
877571,4
901218,6
927343,3
927713,1
967721,1
993166,1
1004721,1
1008659,1
1031664,1
1090760,1
1091014,4
1095831,4
1130651,2
1134989,1
1150912,1
1156753,1
1168897,1
1172225,2
1174648,1
1212528,1
1216993,1
1221103,1
1280726,1
1284868,1
1331093,2
1341870,1
1351231,1
1351865,2
1364024,1
1367452,1
1370007,1
1373873,1
1374415,1
1375487,1
1406073,1
1408525,15
1425071,2
1450378,2
1450430,1
1466005,1
1467260,1
1470394,2
1473247,1
1478367,1
1496188,2
1522694,2
1566057,1
1567773,1
1574604,1
1596220,1
1598163,1
1625657,1
1636378,1
1647109,1
1650712,3
1652272,1
1666293,1
1689652,1
1694537,1
1702905,1
1703448,2
1706029,2
1713427,1
1713524,2
1714541,5
1714750,2
1714866,1
1716726,1
1719263,2
1721158,1
1721232,1
1722284,1
1729503,1
1732442,5
1735664,1
1738288,1
1738341,1
1738846,1
1751133,2
1766434,1
1784424,1
1791341,2
1836617,1
1843216,2
1868359,1
1888816,2
1890653,1
1892467,1
1893660,1
1895571,1
1902834,1
1932547,1
1941314,1
1954334,1
1973600,1
1973909,1
1981346,1
1985408,1
2024487,1
2044655,4
2056009,1
2067969,1
2068619,1
2107994,1
2111994,2
2124765,1
2134007,1
2146727,1
