distrito,tipo_alojamiento,%_tipo_alojamientos/distrito
Arganzuela,Entire home/apt,67.74
Arganzuela,Private room,32.26
Barajas,Entire home/apt,50.0
Barajas,Private room,50.0
Carabanchel,Entire home/apt,62.5
Carabanchel,Private room,37.5
Centro,Entire home/apt,81.17
Centro,Hotel room,1.51
Centro,Private room,16.57
Centro,Shared room,0.75
Chamartin,Entire home/apt,64.29
Chamartin,Private room,35.71
Chamberi,Entire home/apt,69.81
Chamberi,Private room,30.19
Ciudad Lineal,Entire home/apt,71.43
Ciudad Lineal,Private room,28.57
Fuencarral - El Pardo,Entire home/apt,75.0
Fuencarral - El Pardo,Private room,25.0
Hortaleza,Entire home/apt,44.44
Hortaleza,Private room,55.56
Latina,Entire home/apt,35.71
Latina,Private room,64.29
Moncloa - Aravaca,Entire home/apt,68.75
Moncloa - Aravaca,Private room,31.25
Moratalaz,Entire home/apt,100.0
Puente de Vallecas,Entire home/apt,16.67
Puente de Vallecas,Private room,83.33
Retiro,Entire home/apt,64.29
Retiro,Private room,35.71
Salamanca,Entire home/apt,64.52
Salamanca,Hotel room,9.68
Salamanca,Private room,22.58
Salamanca,Shared room,3.23
San Blas - Canillejas,Entire home/apt,36.36
San Blas - Canillejas,Private room,63.64
Tetuan,Entire home/apt,41.18
Tetuan,Private room,58.82
Usera,Private room,100.0
Vicalvaro,Entire home/apt,100.0
Villa de Vallecas,Entire home/apt,100.0
Villaverde,Entire home/apt,75.0
Villaverde,Private room,25.0
