anfitrion,distrito,alojamientos_por_anfitrion
1408525,Centro,13
5542111,Centro,12
901218,Centro,6
4839888,Centro,6
153391,Centro,6
596469,Centro,6
534128,Chamberi,6
2864064,Centro,5
4599639,Centro,5
2536524,San Blas - Canillejas,5
1732442,Centro,5
2564339,Centro,5
3726732,Centro,5
10940437,Centro,4
378073,Centro,4
1095831,Centro,4
4068912,Centro,4
3797913,Centro,4
2991925,Centro,4
2044655,Centro,4
353738,Centro,4
8705535,Centro,4
845399,Centro,4
10651006,Centro,4
4083688,Centro,4
4967875,Retiro,4
2184051,Centro,3
3606346,Centro,3
4190343,Centro,3
12028707,Centro,3
927343,Centro,3
814490,Centro,3
2991670,Salamanca,3
605612,Centro,3
6072314,Centro,3
877571,Centro,3
1091014,Centro,3
2561320,Centro,3
5795235,Centro,3
5785483,Salamanca,3
4361819,Centro,3
8647044,Centro,3
4975799,Centro,3
3048290,Centro,3
4211443,Centro,3
4023064,Centro,3
4292037,Centro,3
6566447,Centro,3
1714541,Ciudad Lineal,3
534128,Centro,3
3898452,Centro,2
2847013,Centro,2
4424222,Moratalaz,2
2833018,Chamberi,2
2376101,Centro,2
4424170,Ciudad Lineal,2
1650712,Centro,2
1470394,Centro,2
3447304,Centro,2
1888816,Arganzuela,2
1843216,Centro,2
1791341,Centro,2
8789737,Centro,2
8879142,Tetuan,2
1714750,Centro,2
1714541,Retiro,2
1713524,Centro,2
3017315,Centro,2
7823688,Centro,2
2111994,Tetuan,2
3983613,Centro,2
5500409,Centro,2
9228673,Salamanca,2
3540348,Villaverde,2
2960080,Centro,2
1522694,Centro,2
1496188,Centro,2
1351865,Hortaleza,2
1172225,Chamberi,2
1331093,Centro,2
850654,Centro,2
2541550,Centro,2
4231218,Centro,2
4304796,Arganzuela,2
596469,Salamanca,2
606925,Centro,2
630482,Carabanchel,2
4305310,Centro,2
364585,Centro,2
361930,Chamberi,2
2444553,Centro,2
762655,Centro,2
805726,Centro,2
805726,Latina,2
499977,Centro,2
4103866,Tetuan,2
2417075,Chamberi,2
7218465,Centro,2
13742566,Centro,2
1130651,Centro,2
10942518,Usera,2
4582755,Centro,2
498646,Puente de Vallecas,2
124972,Moncloa - Aravaca,2
13569734,Centro,2
852616,Centro,2
5918751,Centro,1
5883486,Centro,1
5919800,Chamberi,1
6636854,Centro,1
6730063,Arganzuela,1
6749419,Centro,1
5935817,Chamberi,1
5876034,Tetuan,1
6598518,Centro,1
6754321,Chamberi,1
5870563,Centro,1
5896428,Centro,1
5950981,Centro,1
6564220,Centro,1
6119221,Centro,1
6282893,Salamanca,1
6271519,Centro,1
5824815,Centro,1
6270912,Centro,1
6241052,Chamberi,1
6284734,Centro,1
6191686,Centro,1
6319722,Chamberi,1
6152491,Centro,1
6104199,Puente de Vallecas,1
6483080,Centro,1
6075016,Centro,1
6369472,Chamberi,1
6412103,Centro,1
6420689,Latina,1
6436336,Centro,1
6443996,Centro,1
6282893,Centro,1
5941001,Centro,1
6466920,Retiro,1
5869715,Centro,1
5343904,Centro,1
5814460,Chamberi,1
4684397,Centro,1
4974280,Arganzuela,1
4860266,Centro,1
4839888,Retiro,1
4839698,Centro,1
4831338,Centro,1
4826927,Centro,1
4819459,Barajas,1
4790263,Arganzuela,1
4777959,Chamartin,1
4762305,Centro,1
4722486,Centro,1
4710774,Centro,1
4677458,Salamanca,1
5002446,Centro,1
4677030,Salamanca,1
4677030,Moncloa - Aravaca,1
4677030,Centro,1
4674072,Arganzuela,1
4665174,Centro,1
4628173,Chamartin,1
4618994,Centro,1
4615520,Centro,1
4603165,San Blas - Canillejas,1
4599639,Retiro,1
4504807,Centro,1
4440463,Puente de Vallecas,1
4977367,Centro,1
5031865,Arganzuela,1
5801580,Chamberi,1
5516172,Fuencarral - El Pardo,1
5798033,Centro,1
5790036,Centro,1
5759904,Centro,1
5735364,Chamberi,1
5722524,Barajas,1
5719307,Centro,1
5675916,Arganzuela,1
5633658,Centro,1
5618733,Chamberi,1
5537924,Centro,1
5528551,Centro,1
5521269,Centro,1
5514970,Chamartin,1
5031865,Latina,1
5389129,Tetuan,1
5386601,Puente de Vallecas,1
5347216,Centro,1
6774354,Arganzuela,1
5302455,Retiro,1
5211661,Centro,1
5198285,Latina,1
5149901,Centro,1
5132742,Centro,1
5114074,Centro,1
5084073,Arganzuela,1
5052379,Centro,1
6755278,Retiro,1
13660,Chamartin,1
6774514,Carabanchel,1
9757922,Centro,1
11116174,Centro,1
10974652,Centro,1
10916450,Centro,1
10863262,Carabanchel,1
10654623,Centro,1
10550853,Centro,1
10544543,Chamberi,1
10516522,Centro,1
10402340,Centro,1
10215430,Centro,1
10189139,Centro,1
10037966,Arganzuela,1
9940609,Centro,1
9790541,Centro,1
9738650,Centro,1
9210324,Centro,1
9699624,Centro,1
9696587,Centro,1
9644407,Centro,1
9643400,Centro,1
9597850,Centro,1
9594535,Retiro,1
9570589,Salamanca,1
9551147,Centro,1
9548677,Centro,1
9525646,Arganzuela,1
9290112,Centro,1
9278712,Centro,1
9277975,Centro,1
9250119,Centro,1
11146984,Hortaleza,1
11179787,Carabanchel,1
11262545,Arganzuela,1
11342272,Centro,1
13751801,Centro,1
13732037,Centro,1
13686767,Chamberi,1
13590063,Centro,1
13537715,Latina,1
13523635,Tetuan,1
13513088,Centro,1
13492658,Centro,1
13474925,Centro,1
13440901,Centro,1
13253937,Retiro,1
13250761,Chamberi,1
13097473,Centro,1
12904592,Salamanca,1
12791313,Centro,1
12698367,Moncloa - Aravaca,1
12641432,Centro,1
12481365,Centro,1
12252321,Moncloa - Aravaca,1
12183135,Centro,1
12105600,Centro,1
12077356,Centro,1
12027564,Centro,1
11964814,Ciudad Lineal,1
11824804,Centro,1
11650026,Centro,1
11479457,Centro,1
11407661,Centro,1
11385250,Centro,1
9243583,Arganzuela,1
9172209,Centro,1
6816328,Centro,1
7249376,Chamartin,1
7874554,Salamanca,1
7850049,Centro,1
7828783,Fuencarral - El Pardo,1
7751680,Centro,1
7739367,Centro,1
7652350,Salamanca,1
7649063,Centro,1
7489861,Centro,1
7448200,Chamberi,1
7420783,Centro,1
7395294,Centro,1
7375454,Centro,1
7331716,Centro,1
