id;anfitrion;url;tipo_alojamiento;distrito;precio;gastos_limpieza;plazas;noches_minimas;puntuacion;precio_persona
6369;13660;https://www.airbnb.com/rooms/6369;Private room;Chamartin;70;5;2;1;98;25
24805;101471;https://www.airbnb.com/rooms/24805;Entire home/apt;Centro;80;30;3;5;100;53,75
24836;101653;https://www.airbnb.com/rooms/24836;Entire home/apt;Centro;115;0;4;3;98;49,28571429
26825;114340;https://www.airbnb.com/rooms/26825;Private room;Arganzuela;25;15;1;2;94;21,66666667
62423;303845;https://www.airbnb.com/rooms/62423;Private room;Centro;45;22;3;1;90;16,75
70310;353738;https://www.airbnb.com/rooms/70310;Entire home/apt;Centro;70;50;4;28;82;62,8125
70315;353738;https://www.airbnb.com/rooms/70315;Entire home/apt;Centro;75;70;4;28;80;67,8125
70316;353738;https://www.airbnb.com/rooms/70316;Entire home/apt;Centro;75;60;3;28;77;69,67741935
72150;364585;https://www.airbnb.com/rooms/72150;Entire home/apt;Centro;110;50;9;2;92;24,54545455
72955;378073;https://www.airbnb.com/rooms/72955;Entire home/apt;Centro;85;30;4;3;87;40,71428571
74352;391014;https://www.airbnb.com/rooms/74352;Entire home/apt;Centro;80;0;4;8;92;53,33333333
76617;368907;https://www.airbnb.com/rooms/76617;Entire home/apt;Centro;102;52;5;3;88;44,75
82481;448981;https://www.airbnb.com/rooms/82481;Entire home/apt;Salamanca;60;25;2;3;96;41
84719;259229;https://www.airbnb.com/rooms/84719;Entire home/apt;Centro;60;40;2;3;93;44
86042;364585;https://www.airbnb.com/rooms/86042;Entire home/apt;Centro;100;50;7;2;97;27,77777778
89954;487095;https://www.airbnb.com/rooms/89954;Entire home/apt;Centro;110;89;6;2;96;38,625
93100;499977;https://www.airbnb.com/rooms/93100;Private room;Centro;32;15;3;1;89;11,75
100411;527760;https://www.airbnb.com/rooms/100411;Entire home/apt;Fuencarral - El Pardo;60;20;2;2;93;35
101507;5795235;https://www.airbnb.com/rooms/101507;Entire home/apt;Centro;65;20;2;3;95;43
102091;534128;https://www.airbnb.com/rooms/102091;Entire home/apt;Chamberi;194;0;6;3;86;64,66666667
