anfitrion;distrito;plazas;precio
13660;Chamartin;2;$70.00
83531;Latina;1;$17.00
101471;Centro;3;$80.00
101653;Centro;4;$115.00
114340;Arganzuela;1;$25.00
130907;Centro;2;$65.00
132883;Centro;2;$54.00
130907;Centro;3;$90.00
288380;Centro;1;$40.00
303845;Centro;3;$45.00
353616;Centro;2;$65.00
353738;Centro;4;$70.00
353738;Centro;4;$75.00
353738;Centro;3;$75.00
364585;Centro;9;$110.00
378073;Centro;4;$85.00
391014;Centro;4;$80.00
401552;Centro;3;$63.00
368907;Centro;5;$102.00
448981;Salamanca;2;$60.00
259229;Centro;2;$60.00
364585;Centro;7;$100.00
487095;Centro;6;$110.00
495849;Centro;2;$50.00
499977;Centro;3;$32.00
510570;Tetuán;2;$25.00
527760;Fuencarral - El Pardo;2;$60.00
5795235;Centro;2;$65.00
533936;Ciudad Lineal;1;$20.00
534128;Chamberí;6;$194.00
534515;Centro;4;$95.00
361930;Chamberí;4;$75.00
564773;Fuencarral - El Pardo;1;$40.00
574498;Centro;2;$75.00
361930;Chamberí;4;$75.00
557423;Centro;5;$57.00
378073;Centro;4;$85.00
605612;Centro;2;$35.00
606925;Centro;2;$29.00
605612;Centro;3;$67.00
632589;Centro;8;$200.00
650803;Centro;1;$26.00
666482;Villaverde;1;$21.00
723539;Centro;2;$80.00
739627;Hortaleza;1;$40.00
740087;Centro;4;$69.00
780107;Chamberí;4;$65.00
796746;Hortaleza;2;$45.00
805726;Centro;2;$25.00
814490;Centro;4;$90.00
816497;Centro;3;$150.00
845399;Centro;1;$60.00
845399;Centro;1;$60.00
596469;Centro;2;$80.00
596469;Centro;2;$80.00
850654;Centro;3;$19.00
877571;Centro;8;$90.00
877571;Centro;2;$30.00
877571;Centro;2;$30.00
877571;Centro;8;$89.00
927343;Centro;3;$70.00
852616;Centro;4;$77.00
967721;Centro;2;$25.00
749212;Centro;2;$75.00
75944;Salamanca;8;$140.00
606925;Centro;2;$40.00
1004721;Centro;5;$140.00
1008659;Centro;2;$85.00
124972;Moncloa - Aravaca;1;$50.00
1031664;Centro;1;$30.00
669927;Carabanchel;7;$95.00
